"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*","*","*","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",66.3,58.6,55.3,65.9,59.3,53.0,65.2,59.2,"N/A"
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","*","*","N/A","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Ivy Drive Extended Resource","=""0172211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*","*","N/A","*","*","N/A","*","*","N/A"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*","*","*","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",72.7,69.3,60.8,70.5,66.8,54.3,69.2,67.5,"N/A"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",71.1,64.4,53.2,71.5,67.3,50.5,74.7,68.5,"N/A"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*","*","*","*","*","N/A","*","*","N/A"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*","*","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",71.6,63.1,60.0,71.2,65.3,56.4,72.2,66.0,"N/A"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*","*","*","*","*","N/A","*","*","N/A"
"Bristol School District","=""0170011""","South Side School","=""0171111""",72.1,63.6,53.9,69.4,65.1,51.8,72.3,69.1,"N/A"
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*","*","*","*","N/A","*","*","N/A"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",69.6,62.9,58.5,65.8,62.1,62.1,68.9,63.6,"N/A"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",67.5,59.1,58.0,66.8,59.9,54.3,67.5,61.8,"N/A"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",67.0,62.6,68.0,68.2,65.2,61.6,65.9,63.4,"N/A"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",76.7,71.2,"N/A",73.1,69.9,"N/A",73.9,68.9,"N/A"
