"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",62.4,50.2,43.9,63.7,54.0,44.2,64.0,54.1,"N/A"
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",63.1,53.4,47.2,60.7,52.1,47.9,67.3,56.2,"N/A"
"New Haven School District","=""0930011""","Bishop Woods Architecture and Design Magnet School","=""0934311""",56.3,49.1,43.6,56.7,50.9,42.9,54.8,51.6,"N/A"
"New Haven School District","=""0930011""","Bishop Woods Self Contained Autism","=""0937911""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",55.6,46.6,39.3,55.5,48.7,38.7,54.3,46.6,"N/A"
"New Haven School District","=""0930011""","Brennan Rogers Self Contained Autism","=""0937211""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",52.1,42.8,41.7,54.8,45.0,39.6,55.6,42.4,"N/A"
"New Haven School District","=""0930011""","Celentano Self Contained ID","=""0937411""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",54.5,48.5,39.9,57.5,46.4,44.9,61.1,51.6,"N/A"
"New Haven School District","=""0930011""","Clinton Self Contained ID","=""0937811""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",59.9,50.6,44.6,55.7,48.7,42.5,56.0,47.7,"N/A"
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",63.8,53.2,44.5,63.8,54.5,46.7,62.6,53.7,"N/A"
"New Haven School District","=""0930011""","Cooperative High School - Inter-District Magnet","=""0936411""",51.8,43.3,50.1,52.2,45.3,44.8,48.6,44.0,"N/A"
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",46.8,43.8,41.4,45.2,38.4,43.5,44.9,39.5,"N/A"
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",64.7,54.0,46.0,64.0,55.0,46.7,65.9,53.8,"N/A"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",60.4,52.8,42.3,58.6,51.9,43.3,59.5,54.2,"N/A"
"New Haven School District","=""0930011""","East Rock Self Contained MD","=""0937511""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",62.7,50.4,47.1,61.6,52.5,46.5,60.0,50.1,"N/A"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",67.1,62.0,61.5,68.0,63.7,61.6,70.8,66.4,"N/A"
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",48.7,38.7,37.4,45.5,38.1,34.9,49.0,42.0,"N/A"
"New Haven School District","=""0930011""","Fair Haven Self Contained ID","=""0938711""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",45.8,37.3,41.3,46.6,39.6,46.3,48.2,45.5,"N/A"
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",53.1,47.3,42.9,51.2,46.9,41.6,51.4,45.3,"N/A"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",47.3,44.3,48.4,48.6,45.8,46.7,47.8,44.2,"N/A"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",39.9,36.6,35.0,40.9,37.6,36.2,39.3,36.4,"N/A"
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",61.7,54.1,51.2,61.5,55.1,49.2,60.7,55.1,"N/A"
"New Haven School District","=""0930011""","John S. Martinez Sea and Sky STEM School","=""0930811""",56.1,49.9,40.9,55.8,54.7,42.7,59.8,54.3,"N/A"
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",58.3,49.2,41.5,54.1,48.9,40.0,53.1,46.4,"N/A"
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",56.1,51.5,35.4,56.0,53.8,35.1,52.8,44.5,"N/A"
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",67.4,58.2,58.7,66.3,61.4,57.2,68.8,64.0,"N/A"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",45.9,42.9,43.3,47.3,43.9,41.7,46.0,41.0,"N/A"
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""",12.5,12.2,"*","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",66.0,58.3,48.8,68.1,61.3,52.7,68.5,62.3,"N/A"
"New Haven School District","=""0930011""","Nathan Hale Self Contained ID","=""0937711""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",49.8,46.0,42.4,49.0,44.1,39.4,50.4,45.1,"N/A"
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","*","*","*","*","*",25.4,"*","*","N/A"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","*","*","*","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",57.4,51.5,"N/A",54.5,50.9,48.2,58.9,56.7,"N/A"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","*","*","*","*","*","*","*","*","N/A"
"New Haven School District","=""0930011""","Roberto Clemente Leadership Academy for Global Awareness","=""0934211""",53.2,46.3,36.5,51.4,44.7,37.8,53.5,45.6,"N/A"
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",58.9,47.5,44.3,60.2,50.5,46.5,59.2,47.8,"N/A"
"New Haven School District","=""0930011""","Sound School","=""0936711""",56.3,50.0,58.6,55.3,50.4,54.4,52.0,49.4,"N/A"
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",58.1,48.8,"N/A",59.1,48.4,"N/A",61.6,53.4,"N/A"
"New Haven School District","=""0930011""","Strong Self Contained Autism","=""0937611""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"New Haven School District","=""0930011""","Truman School","=""0932911""",52.7,49.4,41.7,55.1,49.6,42.0,55.3,47.9,"N/A"
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",62.9,58.8,"N/A",67.8,56.1,"N/A",67.7,56.3,"N/A"
"New Haven School District","=""0930011""","West Rock Self Contained Autism","=""0938411""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"New Haven School District","=""0930011""","Wexler Grant Self Contained","=""0938611""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",53.9,44.1,40.2,53.0,39.9,39.8,54.0,41.2,"N/A"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",47.0,42.4,44.1,45.1,40.3,43.3,47.4,43.3,"N/A"
"New Haven School District","=""0930011""","Wilbur Cross Self Contained MD","=""0938511""","N/A","N/A","N/A","*","*","*","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",83.1,74.4,68.1,80.8,74.5,62.7,83.6,77.2,"N/A"
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",76.7,71.3,"N/A",69.3,64.5,"N/A",69.8,66.2,"N/A"
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",71.1,66.1,"N/A",68.5,64.9,"N/A",71.1,66.9,"N/A"
"Newington School District","=""0940011""","John Paterson School","=""0940811""",75.0,70.2,"N/A",71.6,67.3,"N/A",73.4,68.6,"N/A"
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",69.5,64.3,61.8,66.4,64.9,59.9,71.4,65.7,"N/A"
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",66.0,64.5,58.5,67.5,67.3,58.2,68.8,66.8,"N/A"
"Newington School District","=""0940011""","Newington High School","=""0946111""",61.6,59.1,58.7,58.6,56.6,57.5,62.4,60.6,"N/A"
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",74.1,68.5,"N/A",70.7,65.1,"N/A",72.5,67.5,"N/A"
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",52.0,46.4,48.5,50.7,45.3,46.2,51.6,44.8,"N/A"
"New London School District","=""0950011""","C.B. Jennings Dual Language & International Elementary Magnet","=""0950311""",55.8,47.7,41.1,48.6,45.0,40.4,52.8,48.2,"N/A"
"New London School District","=""0950011""","Harbor","=""0950611""","N/A","N/A","N/A","*","*","N/A",55.8,51.9,"N/A"
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",61.9,52.8,48.5,60.3,52.3,43.9,62.9,54.1,"N/A"
"New London School District","=""0950011""","New London High School","=""0956111""",47.3,45.6,46.6,41.6,38.6,34.7,38.7,36.7,"N/A"
"New London School District","=""0950011""","New London Visual and Performing Arts Magnet School","=""0951411""","N/A","N/A","N/A",54.7,48.1,"N/A",57.0,48.1,"N/A"
"New London School District","=""0950011""","Science and Technology Magnet School of Southeastern Connecticut","=""0951311""","N/A","N/A","N/A",55.5,50.0,56.7,58.6,54.2,"N/A"
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",61.8,55.6,52.4,66.9,60.9,55.8,65.6,62.6,"N/A"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",62.5,60.0,64.1,65.0,61.2,57.9,62.9,58.5,"N/A"
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",69.7,67.4,59.5,68.4,68.0,56.9,71.7,67.3,"N/A"
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",66.6,60.0,60.2,66.5,61.4,59.7,69.0,62.3,"N/A"
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",81.4,78.2,"N/A",80.3,76.6,"N/A",81.2,79.2,"N/A"
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",85.8,80.2,"N/A",82.8,77.0,"N/A",81.6,76.8,"N/A"
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",77.3,73.0,"N/A",73.4,73.6,"N/A",77.7,74.4,"N/A"
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",69.1,66.5,72.2,69.9,69.6,64.6,65.4,65.2,"N/A"
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",77.4,75.9,65.9,72.4,75.0,65.9,76.7,74.1,"N/A"
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",77.2,75.9,62.2,77.8,75.6,61.0,77.1,74.2,"N/A"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",77.6,70.4,"N/A",79.1,75.0,"N/A",82.3,78.8,"N/A"
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",72.5,66.3,"*",69.7,65.2,"*",73.6,68.3,"N/A"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",56.8,53.4,66.6,61.9,57.5,62.3,58.5,54.0,"N/A"
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",68.4,61.8,59.6,68.4,62.8,58.0,68.2,63.7,"N/A"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",74.1,68.8,57.9,72.0,70.6,58.8,71.2,68.6,"N/A"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",70.6,63.2,56.4,72.2,65.6,55.4,73.4,63.6,"N/A"
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",75.7,69.6,52.2,73.4,71.9,57.0,74.0,70.2,"N/A"
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",82.0,72.7,62.9,81.7,76.2,59.8,79.5,73.9,"N/A"
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",77.1,70.3,60.7,74.1,70.1,55.0,79.0,75.3,"N/A"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",62.7,56.5,64.8,62.7,59.3,58.8,61.1,58.5,"N/A"
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",74.9,69.5,58.5,73.6,69.4,58.5,73.9,69.3,"N/A"
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",80.7,76.9,58.7,81.3,77.6,57.7,84.0,80.5,"N/A"
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",85.7,87.8,76.3,81.4,85.9,70.2,82.1,84.0,"N/A"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",63.7,62.0,65.1,75.6,68.2,61.3,74.1,66.8,"N/A"
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",71.3,65.4,66.1,"N/A","N/A","N/A","N/A","N/A","N/A"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",54.9,52.5,54.7,52.8,49.8,44.7,50.9,50.0,"N/A"
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",66.7,61.9,54.5,65.9,65.7,51.1,68.1,66.7,"N/A"
"Norwalk School District","=""1030011""","Center for Global Studies","=""1030511""","N/A","N/A","N/A",73.3,68.2,62.1,66.7,63.7,"N/A"
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",72.7,63.4,62.7,70.6,65.9,56.6,69.3,65.0,"N/A"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",75.9,67.8,60.0,76.1,71.2,61.2,72.1,66.2,"N/A"
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",68.0,62.7,58.3,65.4,62.1,53.9,66.9,64.8,"N/A"
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",67.4,62.2,58.1,66.5,63.0,50.1,70.6,64.8,"N/A"
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",63.2,59.5,51.2,60.5,55.9,44.1,66.5,63.0,"N/A"
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",68.8,62.1,54.0,66.8,65.8,53.8,69.0,63.2,"N/A"
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",69.0,62.7,58.6,70.8,69.3,52.5,72.4,68.6,"N/A"
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",64.9,55.6,59.0,63.6,57.4,59.0,63.3,58.8,"N/A"
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",56.4,52.3,55.8,55.2,52.1,45.3,54.2,51.0,"N/A"
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",40.9,32.9,"*","*","*",34.1,"*","*","N/A"
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",60.7,48.9,49.7,59.6,53.6,52.4,57.8,53.8,"N/A"
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",66.7,56.7,56.0,71.1,61.5,56.1,70.6,64.3,"N/A"
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",77.8,72.5,62.6,78.1,75.6,69.9,76.8,73.3,"N/A"
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",67.2,62.6,49.4,65.3,62.4,46.4,68.0,63.4,"N/A"
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",65.4,59.9,53.6,64.4,60.9,53.5,69.1,62.6,"N/A"
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",61.9,52.8,54.5,65.8,56.7,56.2,65.1,60.7,"N/A"
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",73.0,64.9,56.6,72.5,69.0,51.9,73.4,70.0,"N/A"
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""","*","*","*","*","*","*","*","*","N/A"
"Norwich School District","=""1040011""","ABA Program @ Kelly","=""1041111""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Norwich School District","=""1040011""","John B. Stanton School","=""1041411""",61.5,56.7,49.5,61.2,56.6,45.2,61.3,54.1,"N/A"
"Norwich School District","=""1040011""","Kelly STEAM Magnet Middle School","=""1045111""",54.9,48.0,47.5,52.6,47.6,44.9,49.9,44.9,"N/A"
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",60.8,52.9,52.3,59.4,54.9,47.4,60.2,55.6,"N/A"
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",69.4,65.5,56.0,68.2,66.4,53.6,69.1,64.6,"N/A"
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""","*","*","*","*","*","*","*","*","N/A"
"Norwich School District","=""1040011""","Stanton Special Learning Center","=""1040911""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Norwich School District","=""1040011""","Teachers' Memorial Global Studies Magnet Middle School","=""1045211""",58.7,49.7,"N/A",58.1,49.7,"N/A",55.1,47.9,"N/A"
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",66.9,58.5,61.0,72.5,64.3,45.9,76.5,69.1,"N/A"
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",52.6,48.5,42.2,54.8,52.2,39.2,62.5,57.4,"N/A"
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",57.5,53.4,44.6,63.5,58.1,42.0,62.1,60.0,"N/A"
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","*","*","*","*","*","*","N/A","N/A","N/A"
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",60.7,49.8,44.3,61.5,57.2,41.1,64.7,58.7,"N/A"
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",73.4,65.5,"N/A",71.9,65.3,"N/A",69.7,61.3,"N/A"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",75.6,69.0,62.5,75.6,69.7,59.2,72.9,70.5,"N/A"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",64.2,61.1,65.5,65.7,63.1,61.6,69.0,65.6,"N/A"
"Orange School District","=""1070011""","Peck Place School","=""1070511""",81.5,73.5,68.2,82.8,76.6,65.4,80.8,77.5,"N/A"
"Orange School District","=""1070011""","Race Brook School","=""1070311""",78.5,73.0,67.3,77.3,73.4,63.9,76.5,72.9,"N/A"
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",81.0,75.3,69.0,79.9,75.9,66.9,81.5,73.8,"N/A"
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","*","*","*","*","*","*","*","*","N/A"
"Oxford School District","=""1080011""","Great Oak Middle School","=""1085111""",71.3,63.4,60.8,71.7,63.6,65.5,73.0,65.3,"N/A"
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",75.9,70.8,66.8,74.2,71.6,64.9,73.8,73.0,"N/A"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",65.2,58.7,67.5,68.4,62.1,56.7,61.5,58.3,"N/A"
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",73.0,64.3,"N/A",68.3,62.9,"N/A",68.4,64.8,"N/A"
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",69.1,61.2,55.6,69.2,62.0,55.8,71.1,62.6,"N/A"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",56.0,50.7,48.9,54.1,49.5,47.1,53.0,48.6,"N/A"
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",68.7,63.8,53.7,71.5,66.8,56.7,69.8,67.1,"N/A"
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",73.0,68.1,"N/A",69.1,65.3,"N/A",67.9,60.4,"N/A"
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",70.5,65.4,60.4,72.5,66.1,62.2,71.3,67.7,"N/A"
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",70.9,64.9,59.5,67.8,61.5,55.4,69.9,62.5,"N/A"
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",73.3,70.7,58.2,72.5,70.9,55.5,79.2,78.1,"N/A"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",68.5,59.4,61.6,68.0,60.4,54.0,70.2,65.8,"N/A"
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",56.0,53.8,56.6,60.0,55.1,54.1,57.8,56.8,"N/A"
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",63.7,59.7,54.0,63.6,60.9,53.3,60.9,61.4,"N/A"
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",69.1,63.4,54.1,67.9,65.9,52.4,70.9,68.1,"N/A"
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",79.0,73.0,65.6,79.0,74.9,63.5,78.4,75.2,"N/A"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",54.4,51.4,51.8,55.4,53.5,49.1,55.5,55.4,"N/A"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",76.1,71.9,63.8,71.7,70.2,59.5,74.2,70.1,"N/A"
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",81.0,75.0,63.0,75.9,72.2,58.0,76.0,75.2,"N/A"
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",80.6,71.3,"N/A",76.0,68.2,"N/A",76.2,68.1,"N/A"
"Portland School District","=""1130011""","Portland High School","=""1136111""",66.4,62.4,64.1,62.6,60.2,64.0,65.4,63.1,"N/A"
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",77.4,69.5,64.2,80.4,74.2,65.4,77.8,71.1,"N/A"
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",70.2,67.3,61.2,73.4,66.7,60.3,69.2,65.1,"N/A"
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",78.0,71.2,61.1,72.8,68.2,60.2,74.6,68.4,"N/A"
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",66.2,64.1,52.4,67.6,62.4,54.7,68.1,61.7,"N/A"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",52.0,46.9,47.4,51.8,45.9,51.1,51.6,45.6,"N/A"
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",66.3,55.3,49.3,66.2,56.4,50.0,69.1,58.8,"N/A"
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",77.7,73.5,67.5,77.3,75.2,66.6,79.1,78.1,"N/A"
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",85.1,81.4,"N/A",83.9,81.9,"N/A",83.8,80.9,"N/A"
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","*","*","*","*","*","*","*","*","N/A"
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",86.1,76.8,73.4,84.9,79.9,69.0,83.5,78.4,"N/A"
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",87.1,75.8,66.0,86.4,78.7,62.4,85.5,80.1,"N/A"
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""","*","*","N/A","*","*","N/A","*","*","N/A"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""","*","*","N/A","*","*","*","*","*","N/A"
"Ridgefield School District","=""1180011""","District Program SES","=""1180911""","*","*","*","*","N/A","*","N/A","N/A","N/A"
"Ridgefield School District","=""1180011""","District Program SRMS","=""1181111""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",81.1,74.3,67.3,79.6,73.9,65.6,79.4,73.5,"N/A"
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""",83.4,77.3,65.3,84.5,78.4,61.0,83.0,78.6,"N/A"
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",86.6,78.0,74.8,85.8,78.4,68.8,84.7,81.1,"N/A"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",75.3,74.6,73.2,76.4,73.7,68.7,73.1,72.1,"N/A"
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""",88.3,78.7,74.8,87.1,78.2,70.5,88.8,82.0,"N/A"
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",78.3,72.9,69.3,77.1,73.1,67.0,79.9,74.0,"N/A"
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",83.4,73.2,70.1,81.5,77.9,69.5,80.2,77.0,"N/A"
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",72.8,65.8,65.0,75.3,69.3,66.8,80.4,72.7,"N/A"
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",76.4,72.6,68.1,76.7,71.3,63.4,76.1,71.5,"N/A"
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","*","*","*","*","*","*","*","*","N/A"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",63.1,61.6,65.4,65.8,62.9,59.6,62.4,60.4,"N/A"
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",81.1,78.3,69.4,79.8,78.9,61.9,82.7,82.7,"N/A"
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",81.8,75.6,66.8,80.4,75.2,62.4,79.4,74.0,"N/A"
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",81.9,75.7,66.9,79.0,73.1,63.7,80.8,74.9,"N/A"
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",74.4,65.3,"*",74.7,68.7,"*",75.6,64.7,"N/A"
"Seymour School District","=""1240011""","Bungay School","=""1240111""",71.5,66.4,58.2,70.3,64.6,59.0,71.8,66.2,"N/A"
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",70.9,67.4,59.0,70.6,68.4,55.0,71.7,66.5,"N/A"
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",55.4,54.4,56.8,62.2,59.2,48.5,60.7,57.9,"N/A"
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",66.8,63.6,56.0,66.4,61.7,57.8,65.1,63.3,"N/A"
